12,Fecha,¿Qué hice ayer? (o día hábil anterior),¿Qué voy a hacer hoy?,Blocks,Detalle bloqueantes
Johan,12-06-17,Tokko y Auto aprobación de anuncios. ,Tokko y Auto aprobación de anuncios. ,Si,No me aprueban el Pull Request no se por qué
Pablo,12-06-17,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro. (no lo pude resolver.),Preguntarle a Blas herrara por FB Advertising. Lo otro que me queda es “Bugs chat: faltante de mensajes luego de intermitencia”. (no creo que pueda hacer nada por como es el framework.),No,
Federico,12-06-17,ads Uruguay y smoke chat,Ads Uruguay,No,
Lionel,13-06-17,Hoy no hubo daily por planning/retro,,No,
Jorge,14-06-17,"Bugs de chat y experimentos con la librería que usa OLX (stanza.io); algo de Smyte que pidió Pedro (dice que hay mensajes de spammers que siguen llegando, no lo pude reproducir)",Bugs de chat y experimentos con la librería que usa OLX (stanza.io); retro; planning;,No,
Federico,14-06-17,"* Smoke test chat 09-06-2017
* Las notificaciones que se reciben en el dispositivo cuando se aprueba una publicación, no tienen texto.",* Smoke test chat 09-06-2017,No,
Noelia,14-06-17,Error en la publicación cuando no puede inferir el servicio., Deep link para Wallet en pantalla de selección de paquete preferido,No,
Johan,14-06-17,Tokko / CRM Pilot,Stockars / Tokko ,Si,"El ciclo de aprobar los PR a testing se tarda 3 dias por iteración, EL servicio de localizacion no funciona, no se como levantarlo"
Pablo,14-06-17,iOS - Limitar los mensajes del backend a 500. Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro,Por ahora Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro.,No,
Pablo,15-06-17,Bug de intermitencia de los mensajes de chat.,"No se con que seguir, no puedo hacer nada con eso.",Si,No se con que seguir.
Noelia,15-06-17,Deep link para Wallet en pantalla de selección de paquete preferido,Deep link para Wallet en pantalla de selección de paquete preferido,No,
Jorge,15-06-17,"Bugs de chat y experimentos con la librería que usa OLX (stanza.io), no están yendo muy bien.",Bugs de chat y experimentos con la librería que usa OLX (stanza.io); hablar con Marcos para pedirle permisos a la réplica del chat,No,
Federico,15-06-17,Bug Android: Indicador de mensajes no leídos marca 10 cuando hay >=100 mensajes,"Error en la publicación cuando no puede inferir el servicio
Bugs Chat: Procesamiento en Android
iOS: Restricciones en edición de destacados",No,
Johan,15-06-17,Tokko,Tokko,Si,"un servicio de localización no me levanta en el local y no puedo probar
ayer lo vi con Rodrigo García, lo reinició en mi máquina y levantó.  Hoy no levanta de nuevo"
Jorge,16-06-17,Bugs chat y agregar Google Analytics,Google Analytics,No,
Johan,16-06-17,Tokko,Tokko,Si,Por falta de documentación y de referente OLX la ingeniería inversa lleva mucho tiempo. Coordenadas y otras dependencias sin funcionar.
Noelia,16-06-17,Deep link para Wallet en pantalla de selección de paquete preferido.,Deep link para Wallet en pantalla de selección de paquete preferido. Hay que chequear un parámetro por una posible solución.,Si,Respuesta de Marcos necesaria por parámetro para un serviio.
Pablo,16-06-17,Intermitencia.,Intermitencia: hoy pull request.,No,
Federico,16-06-17,"Error en la publicación cuando no puede inferir el servicio
Bugs Chat: Procesamiento en Android
iOS: Restricciones en edición de destacados
Backend 500 mensajes.",,No,
Noelia,19-06-17,"Empece a ver lo del orden en las publicaciones, armar entorno de abl y smaug",estaba leyendo un poco de Scala y tratando de entender smaug,Ni,Scala es desafiante
Pablo,19-06-17,Se mandó el pull request de los mensajes de pull request que se pierden. Empecé a leer sobre facebook ads., Se verificó que “iOS: Validar formato de mail en la registración” es not a bug. No se con que seguir.,Si,Sin tickets para seguir
Jorge,19-06-17,"Arranqué con lo de Analytics, Pedro sobre el final del día preguntó por un usuario que está bloqueado y siguen llegando sus mensajes",Analytics,Si,Acceso a Google Tag Manager (se supone Josefina Espelet me lo va a conseguir)
Johan,19-06-17,Tokko,Tokko,No,
,19-06-17,,Smoke test de iOS,No,
Lionel,20-06-17,Hoy no hubo daily por feriado nacional,,No,
Noelia,21-06-17,Lei un poco de Scala y trate de entender y seguir smaug.,Orden en las publicaciones: abl y smaug,No,
Pablo,21-06-17,Estuve con “key value en all non-categories de DFP” y “iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse”,iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse,No,
Johan,21-06-17,"Tokko, reunion con TECNOM",usuarios que no pueden crear perfil profesional.,Si,Pull request pendiente por German
Jorge,21-06-17,Analytics,Analytics,No,
Federico,21-06-17,Smoke test de iOS,"Esperando asignación, validando tarjetas próximas",No,
Jorge,22-06-17,Analytics,Analytics,No,
Federico,22-06-17,Cuenta y mensajes erróneos,Cuenta y mensajes erróneos,Ni,La tarjeta tiene mucho humo
Pablo,22-06-17,iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse.,iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse.,No,
Noelia,22-06-17,Orden en las publicaciones: abl y smaug,Orden en las publicaciones: abl,No,
Johan,22-06-17,Usuarios no pueden crear el perfil profesional / Cambiar longitud del campo contact_mapping.description en la DB.,Tokko,No,
,23-06-17,,,No,
,23-06-17,,,No,
,23-06-17,,,No,
,23-06-17,,,No,
,23-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
